Plan Name,Plan Code,Region,Coverage Amount,Coverage Period,Terms,SKU,Administrator,Underwriter,Support,Coverage Type,Coverage Cost Type,Coverage Type Amount,Channel
Camera Protection 100,,United States,USD 100.00,1,Terms and Conditions_Camera_Protection.pdf,,InstaProtek,InstaProtek,InstaProtek(CameraProtection),Camera Repair Guarantee,Deductible,USD 100.00,
Demo Plan 100,,United States,USD 100.00,1,2022-02-08T03_44_40.879Z.pdf,,After Inc.,InstaProtek,Instaprotek(Device_Guarantee),Screen Protection,Deductible,USD 100.00,
Device Protection 100,,United States,USD 100.00,1,Terms and Conditions_DeviceGuarantee.pdf,,InstaProtek,InstaProtek,Instaprotek(Device_Guarantee),Device Guarantee Excluding Screen Repair,Deductible,USD 100,
Enterprise Case + Screen Product Guarantee - 12 Months,,United States,USD 250.00,1,Terms&Conditions.pdf,CPPG025012MO,The Plateau Group Inc.,Ensure Protect,InstaProtek(Guarantee),Case & Screen Protector Guarantee,Repair Or Replacement,USD 250.00,Online
Enterprise Case + Screen Product Guarantee - 36 Months,,United States,USD 250.00,3,Terms&Conditions.pdf,,The Plateau Group Inc.,Ensure Protect,Instaprotek Enterprise,Case & Screen Protector Guarantee,Repair,USD 250.00,Online
Enterprise Case + Screen Protector Product Guarantee - 24 Months,,United States,USD 250.00,2,Terms & Conditions_PCSPPG.pdf,PTCPPG025024MOIK,The Plateau Group Inc.,Ensure Protect,Instaprotek Enterprise,Repair Or Replacement,Repair,USD 250.00,Online
Enterprise Case Guarantee and Extended Service Warranty - 48 Months,,United States,USD 0.00,4,Terms and Conditions_PCPG.pdf,ESC030048MO00IK,InstaProtek,Ensure Protect,Instaprotek Enterprise,Repair Or Replacement,Repair Or Replacement,USD 300.00,Online
Enterprise Case Product Guarantee - 12 Months,,United States,USD 250.00,1,Terms&Conditions.pdf,,The Plateau Group Inc.,Ensure Protect,Instaprotek Enterprise,Case Guarantee,Repair,USD 250.00,Online
Enterprise Case Product Guarantee - 24 Months,,United States,USD 250.00,2,Terms&Conditions.pdf,,The Plateau Group Inc.,Ensure Protect,Instaprotek Enterprise,Screen Protection Guarantee,Repair Or Replacement,USD 250.00,Online
Enterprise Case Product Guarantee - 36 Months,,United States,USD 300.00,3,Terms&Conditions.pdf,,InstaProtek,Ensure Protect,Instaprotek Enterprise,Repair Guarantee,Deductible,USD 300.00,Online
Enterprise Case Product Guarantee - 36 Months,,United States,USD 250.00,3,Terms&Conditions.pdf,,The Plateau Group Inc.,Ensure Protect,Instaprotek Enterprise,Screen Protection Guarantee,Repair Or Replacement,USD 250.00,Online
Enterprise Product Guarantee - 12 Months,,United States,USD 300.00,1,Enterprise_EDU Terms and Conditions.pdf,PG030012MO00IK,The Plateau Group Inc.,Ensure Protect,Instaprotek Enterprise,Repair Or Replacement,Repair Or Replacement,USD 300.00,Online
